var1(t-1),var2(t-1),var3(t-1),var4(t-1),var5(t-1),var6(t-1),var7(t-1),var8(t-1),var9(t-1),var10(t-1),var1(t),var2(t),var3(t),var4(t),var5(t),var6(t),var7(t),var8(t),var9(t),var10(t)
0.902766708,-1.556595469,1.221670892,1.450026904,-0.767903819,0.376696004,0.731275234,1.445937125,-0.936537453,-0.329841333,0.902880565,-1.395596094,1.201999266,1.030972136,-0.007835179,0.357936432,0.800415801,1.043029943,-0.921584638,-0.151264103
0.902880565,-1.395596094,1.201999266,1.030972136,-0.007835179,0.357936432,0.800415801,1.043029943,-0.921584638,-0.151264103,0.902994421,-1.234596719,1.103641137,0.726205033,-0.007835179,0.320417288,0.48928325,0.908727549,-0.831867752,0.295178972
0.902994421,-1.234596719,1.103641137,0.726205033,-0.007835179,0.320417288,0.48928325,0.908727549,-0.831867752,0.295178972,0.903108277,-1.166807509,0.975775569,0.459533817,0.144178549,0.320417288,0.627564384,1.043029943,-0.772056495,0.741622048
0.903108277,-1.166807509,0.975775569,0.459533817,0.144178549,0.320417288,0.627564384,1.043029943,-0.772056495,0.741622048,0.903222134,-1.090544647,0.818402563,0.307150265,0.296192277,0.282898144,0.454712967,1.177332337,-0.712245238,1.009487893
0.903222134,-1.090544647,0.818402563,0.307150265,0.296192277,0.282898144,0.454712967,1.177332337,-0.712245238,1.009487893,0.90333599,-1.048176391,0.749551873,0.192862601,0.524212869,0.301657716,0.351002116,1.177332337,-0.667386795,1.098776508
0.90333599,-1.048176391,0.749551873,0.192862601,0.524212869,0.301657716,0.351002116,1.177332337,-0.667386795,1.098776508,0.903449846,-1.031229088,0.729880247,0.078574937,0.372199141,0.376696004,0.420142683,1.445937125,-0.667386795,0.920199278
0.903449846,-1.031229088,0.729880247,0.078574937,0.372199141,0.376696004,0.420142683,1.445937125,-0.667386795,0.920199278,0.903563703,-1.065123693,0.73971606,0.116670825,-0.235855771,0.414215147,0.523853533,1.445937125,-0.742150867,0.830910663
0.903563703,-1.065123693,0.73971606,0.116670825,-0.235855771,0.414215147,0.523853533,1.445937125,-0.742150867,0.830910663,0.903677559,-1.17528116,0.759387685,0.307150265,-0.691896955,0.564291722,0.800415801,1.714541913,-0.846820567,0.473756203
0.903677559,-1.17528116,0.759387685,0.307150265,-0.691896955,0.564291722,0.800415801,1.714541913,-0.846820567,0.473756203,0.903791415,-1.361701489,0.788895124,0.688109145,-0.995924411,0.583051294,1.076978069,1.848844307,-0.936537453,0.205890357
0.903791415,-1.361701489,0.788895124,0.688109145,-0.995924411,0.583051294,1.076978069,1.848844307,-0.936537453,0.205890357,0.903905272,-1.387122443,0.847910002,0.802396809,-0.919917547,0.526772578,1.215259203,1.848844307,-0.936537453,0.116601742
0.903905272,-1.387122443,0.847910002,0.802396809,-0.919917547,0.526772578,1.215259203,1.848844307,-0.936537453,0.116601742,0.904019128,-1.471858956,0.926596505,0.992876248,-1.223945004,1.277155451,1.664672888,2.654658672,-0.936537453,-0.061975488
0.904019128,-1.471858956,0.926596505,0.992876248,-1.223945004,1.277155451,1.664672888,2.654658672,-0.936537453,-0.061975488,0.904132984,-1.505753562,0.975775569,1.107163912,-0.691896955,1.089559733,1.595532321,2.25175149,-0.936537453,-0.151264103
0.904132984,-1.505753562,0.975775569,1.107163912,-0.691896955,1.089559733,1.595532321,2.25175149,-0.936537453,-0.151264103,0.90424684,-1.556595469,0.985611382,1.183355688,-0.615890091,0.977002302,1.38811062,1.983146702,-0.936537453,-0.240552718
0.90424684,-1.556595469,0.985611382,1.183355688,-0.615890091,0.977002302,1.38811062,1.983146702,-0.936537453,-0.240552718,0.904360697,-1.404069746,0.975775569,0.916684472,-0.615890091,0.939483158,1.353540337,1.714541913,-0.936537453,-0.240552718
0.904360697,-1.404069746,0.975775569,0.916684472,-0.615890091,0.939483158,1.353540337,1.714541913,-0.936537453,-0.240552718,0.904474553,-1.556595469,1.015118821,1.1452598,-0.843910683,0.977002302,1.353540337,1.714541913,-0.936537453,-0.240552718
0.904474553,-1.556595469,1.015118821,1.1452598,-0.843910683,0.977002302,1.353540337,1.714541913,-0.936537453,-0.240552718,0.904588409,-1.62438468,0.975775569,1.33573924,-0.919917547,0.977002302,1.249829487,1.580239519,-0.936537453,-0.240552718
0.904588409,-1.62438468,0.975775569,1.33573924,-0.919917547,0.977002302,1.249829487,1.580239519,-0.936537453,-0.240552718,0.904702266,-1.658279285,0.985611382,1.33573924,-1.071931275,0.864444871,1.146118636,1.445937125,-0.936537453,-0.240552718
0.904702266,-1.658279285,0.985611382,1.33573924,-1.071931275,0.864444871,1.146118636,1.445937125,-0.936537453,-0.240552718,0.904816122,-1.548121818,0.995447195,1.183355688,-0.615890091,0.826925727,1.146118636,1.311634731,-0.936537453,-0.240552718
0.904816122,-1.548121818,0.995447195,1.183355688,-0.615890091,0.826925727,1.146118636,1.311634731,-0.936537453,-0.240552718,0.904929978,-1.480332608,0.985611382,0.95478036,-0.995924411,0.75188744,0.834986085,1.177332337,-0.936537453,-0.240552718
0.904929978,-1.480332608,0.985611382,0.95478036,-0.995924411,0.75188744,0.834986085,1.177332337,-0.936537453,-0.240552718,0.905043835,-1.522700864,0.975775569,1.107163912,-0.843910683,0.808166155,1.042407786,1.445937125,-0.936537453,-0.240552718
0.905043835,-1.522700864,0.975775569,1.107163912,-0.843910683,0.808166155,1.042407786,1.445937125,-0.936537453,-0.240552718,0.905157691,-1.598963726,1.015118821,1.259547464,-0.995924411,0.470493863,0.800415801,1.177332337,-0.936537453,-0.329841333
0.905157691,-1.598963726,1.015118821,1.259547464,-0.995924411,0.470493863,0.800415801,1.177332337,-0.936537453,-0.329841333,0.905271547,-1.641331983,1.054462072,1.259547464,-0.843910683,0.789406584,1.215259203,1.714541913,-0.936537453,-0.240552718
0.905271547,-1.641331983,1.054462072,1.259547464,-0.843910683,0.789406584,1.215259203,1.714541913,-0.936537453,-0.240552718,0.905385404,-1.598963726,1.142984389,1.183355688,-0.843910683,0.714368296,1.318970053,1.983146702,-0.936537453,-0.240552718
0.905385404,-1.598963726,1.142984389,1.183355688,-0.843910683,0.714368296,1.318970053,1.983146702,-0.936537453,-0.240552718,0.90549926,-1.370175141,1.192163453,0.764300921,-0.615890091,0.226619429,0.869556368,1.580239519,-0.936537453,-0.151264103
0.90549926,-1.370175141,1.192163453,0.764300921,-0.615890091,0.226619429,0.869556368,1.580239519,-0.936537453,-0.151264103,0.905613116,-1.243070371,1.280685769,0.764300921,0.144178549,0.526772578,0.973267219,2.25175149,-0.936537453,0.027313127
0.905613116,-1.243070371,1.280685769,0.764300921,0.144178549,0.526772578,0.973267219,2.25175149,-0.936537453,0.027313127,0.905726973,-1.124439252,1.221670892,0.688109145,0.296192277,1.089559733,0.5929941,2.654658672,-0.89167901,0.295178972
0.905726973,-1.124439252,1.221670892,0.688109145,0.296192277,1.089559733,0.5929941,2.654658672,-0.89167901,0.295178972,0.905840829,-1.099018298,1.123312763,0.840492697,0.904247189,1.445991597,0.5929941,3.057565854,-0.846820567,0.741622048
0.905840829,-1.099018298,1.123312763,0.840492697,0.904247189,1.445991597,0.5929941,3.057565854,-0.846820567,0.741622048,0.905954685,-1.022755437,1.024954634,0.611917369,-0.083842043,1.914980893,0.558423817,3.460473036,-0.78700931,1.098776508
0.905954685,-1.022755437,1.024954634,0.611917369,-0.083842043,1.914980893,0.558423817,3.460473036,-0.78700931,1.098776508,0.906068542,-1.005808134,0.926596505,0.573821481,-0.083842043,1.99001918,0.748560376,3.326170642,-0.78700931,1.188065123
0.906068542,-1.005808134,0.926596505,0.573821481,-0.083842043,1.99001918,0.748560376,3.326170642,-0.78700931,1.188065123,0.906182398,-0.997334483,0.887253253,0.535725593,-0.311862635,2.065057467,0.938696935,3.191868248,-0.78700931,1.277353738
0.906182398,-0.997334483,0.887253253,0.535725593,-0.311862635,2.065057467,0.938696935,3.191868248,-0.78700931,1.277353738,0.906296254,-1.056650042,0.906924879,0.688109145,-0.235855771,2.102576611,1.076978069,3.057565854,-0.831867752,0.741622048
0.906296254,-1.056650042,0.906924879,0.688109145,-0.235855771,2.102576611,1.076978069,3.057565854,-0.831867752,0.741622048,0.90641011,-1.192228463,0.916760692,0.992876248,-0.387869499,2.046297895,1.111548353,3.057565854,-0.936537453,0.295178972
0.90641011,-1.192228463,0.916760692,0.992876248,-0.387869499,2.046297895,1.111548353,3.057565854,-0.936537453,0.295178972,0.906523967,-1.327806884,0.985611382,1.259547464,-0.691896955,2.008778752,1.111548353,3.191868248,-0.936537453,0.116601742
0.906523967,-1.327806884,0.985611382,1.259547464,-0.691896955,2.008778752,1.111548353,3.191868248,-0.936537453,0.116601742,0.906637823,-1.412543397,1.054462072,1.373835128,-0.919917547,1.952500036,1.007837502,3.460473036,-0.936537453,0.027313127
0.906637823,-1.412543397,1.054462072,1.373835128,-0.919917547,1.952500036,1.007837502,3.460473036,-0.936537453,0.027313127,0.906751679,-1.471858956,1.093805324,1.52621868,-0.919917547,2.065057467,1.042407786,3.460473036,-0.936537453,-0.061975488
0.906751679,-1.471858956,1.093805324,1.52621868,-0.919917547,2.065057467,1.042407786,3.460473036,-0.936537453,-0.061975488,0.906865536,-1.49727991,1.123312763,1.564314568,-0.995924411,2.065057467,1.042407786,3.863380218,-0.936537453,-0.151264103
0.906865536,-1.49727991,1.123312763,1.564314568,-0.995924411,2.065057467,1.042407786,3.863380218,-0.936537453,-0.151264103,0.906979392,-1.49727991,1.142984389,1.564314568,-0.691896955,2.121336183,0.973267219,3.729077824,-0.936537453,-0.240552718
0.906979392,-1.49727991,1.142984389,1.564314568,-0.691896955,2.121336183,0.973267219,3.729077824,-0.936537453,-0.240552718,0.907093248,-1.556595469,1.162656014,1.602410456,-0.463876363,2.252653185,1.007837502,3.59477543,-0.936537453,-0.240552718
0.907093248,-1.556595469,1.162656014,1.602410456,-0.463876363,2.252653185,1.007837502,3.59477543,-0.936537453,-0.240552718,0.907207105,-1.548121818,1.142984389,1.640506344,-0.311862635,2.40272976,0.938696935,3.729077824,-0.936537453,-0.240552718
0.907207105,-1.548121818,1.142984389,1.640506344,-0.311862635,2.40272976,0.938696935,3.729077824,-0.936537453,-0.240552718,0.907320961,-1.590490075,1.142984389,1.602410456,-0.539883227,2.60908505,1.007837502,3.863380218,-0.936537453,-0.240552718
0.907320961,-1.590490075,1.142984389,1.602410456,-0.539883227,2.60908505,1.007837502,3.863380218,-0.936537453,-0.240552718,0.907434817,-1.641331983,1.152820202,1.640506344,-1.451965596,2.965516914,1.146118636,4.266287401,-0.936537453,-0.329841333
0.907434817,-1.641331983,1.152820202,1.640506344,-1.451965596,2.965516914,1.146118636,4.266287401,-0.936537453,-0.329841333,0.907548674,-1.759963101,1.142984389,1.564314568,-0.463876363,3.040555202,1.111548353,4.131985007,-0.936537453,-0.419129948
0.907548674,-1.759963101,1.142984389,1.564314568,-0.463876363,3.040555202,1.111548353,4.131985007,-0.936537453,-0.419129948,0.90766253,-1.598963726,1.162656014,1.71669812,-0.843910683,3.059314773,1.18068892,4.266287401,-0.936537453,-0.419129948
0.90766253,-1.598963726,1.162656014,1.71669812,-0.843910683,3.059314773,1.18068892,4.266287401,-0.936537453,-0.419129948,0.907776386,-1.522700864,1.192163453,1.71669812,-1.299951868,3.303189207,0.938696935,4.266287401,-0.936537453,-0.419129948
0.907776386,-1.522700864,1.192163453,1.71669812,-1.299951868,3.303189207,0.938696935,4.266287401,-0.936537453,-0.419129948,0.907890243,-1.454911654,1.241342518,1.71669812,-0.539883227,2.927997771,1.076978069,4.266287401,-0.936537453,-0.240552718
0.907890243,-1.454911654,1.241342518,1.71669812,-0.539883227,2.927997771,1.076978069,4.266287401,-0.936537453,-0.240552718,0.908004099,-1.446438002,1.280685769,1.71669812,-0.919917547,2.552806334,0.904126652,3.997682612,-0.936537453,-0.329841333
0.908004099,-1.446438002,1.280685769,1.71669812,-0.919917547,2.552806334,0.904126652,3.997682612,-0.936537453,-0.329841333,0.908117955,-1.404069746,1.34953646,1.71669812,-0.919917547,2.571565906,0.973267219,3.863380218,-0.936537453,-0.240552718
0.908117955,-1.404069746,1.34953646,1.71669812,-0.919917547,2.571565906,0.973267219,3.863380218,-0.936537453,-0.240552718,0.908231811,-1.387122443,1.428222963,1.71669812,-0.235855771,2.534046763,1.007837502,3.729077824,-0.936537453,-0.329841333
0.908231811,-1.387122443,1.428222963,1.71669812,-0.235855771,2.534046763,1.007837502,3.729077824,-0.936537453,-0.329841333,0.908345668,-1.378648792,1.536416905,1.71669812,-0.539883227,2.740402053,1.076978069,3.863380218,-0.936537453,-0.329841333
0.908345668,-1.378648792,1.536416905,1.71669812,-0.539883227,2.740402053,1.076978069,3.863380218,-0.936537453,-0.329841333,0.908459524,-1.353227838,1.506909466,1.640506344,-0.311862635,2.721642481,1.28439977,3.863380218,-0.936537453,-0.329841333
0.908459524,-1.353227838,1.506909466,1.640506344,-0.311862635,2.721642481,1.28439977,3.863380218,-0.936537453,-0.329841333,0.90857338,-1.336280535,1.457730401,1.52621868,-0.159848907,2.759161624,1.664672888,3.997682612,-0.936537453,-0.240552718
0.90857338,-1.336280535,1.457730401,1.52621868,-0.159848907,2.759161624,1.664672888,3.997682612,-0.936537453,-0.240552718,0.908687237,-1.327806884,1.447894589,1.373835128,-0.159848907,3.209391348,1.941235156,3.863380218,-0.936537453,-0.329841333
